year,use,dwellings,area_m2
2005,1_residential,8,1102.0
1940,1_residential,2,198.0
2009,1_residential,5,459.0
1991,1_residential,5,698.0
1965,1_residential,19,1430.0
1980,1_residential,19,2478.0
1955,1_residential,1,143.0
1989,1_residential,4,590.0
1965,1_residential,12,1257.0
1979,1_residential,16,2192.0
1960,1_residential,1,860.0
1965,1_residential,2,406.0
1960,1_residential,2,232.0
1960,1_residential,1,1000.0
1960,1_residential,2,226.0
1991,1_residential,13,1986.0
1986,1_residential,9,1714.0
1930,4_2_retail,0,104.0
1976,1_residential,8,738.0
1979,1_residential,4,417.0
1979,1_residential,16,2253.0
2006,1_residential,1,271.0
1959,1_residential,9,786.0
1940,1_residential,0,128.0
1978,1_residential,2,314.0
1984,1_residential,3,502.0
1962,1_residential,2,176.0
1970,1_residential,10,1235.0
1964,1_residential,20,1508.0
1942,1_residential,1,238.0
1971,1_residential,10,1280.0
1960,1_residential,10,1174.0
1970,1_residential,5,759.0
1969,1_residential,8,888.0
1970,1_residential,5,776.0
1984,1_residential,4,830.0
2018,1_residential,5,641.0
2002,1_residential,10,1498.0
1951,1_residential,9,925.0
1951,1_residential,11,883.0
1968,1_residential,10,1177.0
1969,1_residential,10,1169.0
1969,1_residential,10,1117.0
1965,1_residential,2,310.0
1981,1_residential,1,282.0
1979,1_residential,4,712.0
1964,1_residential,8,608.0
1992,1_residential,1,410.0
1997,1_residential,7,1443.0
2006,1_residential,13,2255.0
1982,1_residential,9,867.0
1981,1_residential,20,3729.0
1970,1_residential,20,2028.0
1991,1_residential,5,862.0
1980,1_residential,24,3856.0
1969,1_residential,12,2216.0
1976,1_residential,8,1956.0
1970,1_residential,23,2755.0
1985,1_residential,3,224.0
1999,1_residential,7,1142.0
2001,4_3_publicServices,1,1676.0
1990,1_residential,10,1452.0
1976,1_residential,16,2817.0
1973,1_residential,15,2426.0
1974,1_residential,30,3852.0
1968,1_residential,35,4950.0
1980,1_residential,12,1846.0
1974,1_residential,10,1690.0
1984,1_residential,24,4295.0
1986,1_residential,8,1582.0
1988,1_residential,12,2608.0
1969,1_residential,24,2820.0
1970,1_residential,113,10153.0
1968,1_residential,179,19680.0
1969,1_residential,24,2137.0
1969,1_residential,23,2433.0
1969,1_residential,20,1831.0
1969,1_residential,19,1934.0
1969,1_residential,20,2213.0
1969,1_residential,20,2367.0
1969,1_residential,20,2367.0
1969,1_residential,25,2115.0
1984,4_3_publicServices,0,2290.0
1982,1_residential,1,358.0
1967,1_residential,10,1079.0
1971,1_residential,10,1300.0
1967,1_residential,5,708.0
1964,1_residential,2,381.0
1984,1_residential,8,1166.0
1973,1_residential,4,803.0
1963,1_residential,1,262.0
1966,1_residential,3,534.0
1989,1_residential,1,297.0
1950,1_residential,1,228.0
1974,1_residential,5,790.0
1980,1_residential,8,1133.0
1932,1_residential,1,74.0
1932,1_residential,1,78.0
2008,1_residential,8,639.0
1950,1_residential,1,238.0
1983,1_residential,5,490.0
1966,1_residential,5,684.0
1973,1_residential,1,376.0
2018,1_residential,5,537.0
2011,1_residential,16,2535.0
1977,1_residential,73,11143.0
1993,1_residential,23,3283.0
2009,1_residential,14,1771.0
2007,1_residential,10,2168.0
1990,4_3_publicServices,0,8486.0
1954,4_3_publicServices,0,12408.0
1993,4_3_publicServices,0,11310.0
1960,4_3_publicServices,0,6916.0
1964,4_3_publicServices,0,8011.0
1984,4_3_publicServices,0,2290.0
1964,1_residential,41,4856.0
2007,1_residential,42,6824.0
1966,1_residential,39,5006.0
1965,1_residential,32,3055.0
1967,1_residential,13,2868.0
1967,1_residential,13,2987.0
1989,1_residential,20,9476.0
1960,1_residential,49,6346.0
1962,1_residential,6,1386.0
1968,4_2_retail,15,4954.0
1994,1_residential,0,9402.0
1971,1_residential,27,5436.0
1972,1_residential,28,6425.0
1971,1_residential,38,7331.0
1950,1_residential,26,3081.0
1956,1_residential,16,2633.0
1950,1_residential,14,2029.0
1958,1_residential,12,1516.0
1952,1_residential,1,1660.0
1960,4_2_retail,6,3854.0
1994,1_residential,15,1862.0
1952,1_residential,14,1110.0
1953,1_residential,6,637.0
1975,1_residential,10,1583.0
1940,1_residential,20,2780.0
1953,1_residential,12,1439.0
1950,1_residential,14,1015.0
1960,1_residential,8,1298.0
2007,1_residential,14,2367.0
1976,1_residential,14,2224.0
1999,1_residential,14,2504.0
2002,1_residential,17,3399.0
1961,1_residential,1,1491.0
1982,4_3_publicServices,0,3750.0
1940,4_3_publicServices,0,1155.0
1987,1_residential,50,12959.0
